Type,Numéro,Alias,Alias structuré,Libellé,Compte provisoire 2014,Budget voté 2015,2016,2017,2018,2019,Mention
Article,12.321,120 12321,12.0.12.321,Mise en oeuvre d'actions nationales dans le cadre de programmes communautaires ayant trait à l'inclusion sociale,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.331,120 12331,12.0.12.331,Institut de Gérontologie - Lëtzebuerger Senioren-Academie: frais de fonctionnement; indemnités des conférenciers; acquisitions d'équipements et de matériel didactique; frais de publication; publicité; dépenses diverses,,46 500,53 000,53 000,53 000,53 000,
Article,12.332,120 12332,12.0.12.332,"Plan d'action ""maladies démentielles""",,35 000,35 000,35 000,35 000,35 000,Crédit non limitatif et sans distinction d'exercice
Article,12.333,120 12333,12.0.12.333,"""Senioren Telefon"" formation et supervision; publicité; documentation et équipement divers requis, dépenses diverses",,12 000,12 000,12 000,12 000,12 000,
Article,12.350,120 12350,12.0.12.350,Accompagnement psycho-thérapeutique et socio-pédagogique des victimes d'incidents collectifs à portée traumatisante; frais divers,,5 600,5 600,5 600,5 600,5 600,Crédit non limitatif et sans distinction d'exercice
Article,12.390,120 12390,12.0.12.390,Participation de l'Union européenne à l'Année européenne de lutte contre la pauvreté et l'exclusion sociale (2010); remboursement intérêts,594,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,33.000,120 33000,12.0.33.000,Participation de l’Etat aux frais de fonctionnement des centres de consultation et d’information familiales,,4 350 989,5 051 533,5 233 171,5 310 811,5 400 552,
Article,33.001,120 33001,12.0.33.001,"Participation de l'Etat aux frais de gestionnaires privés assurant des services aux initiatives bénévoles dans les domaines du social, des secours, de la culture, du sport, de l'environnement, de la jeunesse, des femmes, du troisième âge et/ou accomplissant des missions d'information et de sensibilisation du public",207 852,256 580,299 376,303 062,307 593,313 130,
Article,33.002,120 33002,12.0.33.002,Participation aux frais de fonctionnement d'associations conventionnées par le Ministère de la Famille et de l'Intégration: solde de la participation de l'Etat résultant de décomptes se rapportant à des exercices antérieurs et qui n'ont pas pû être clôturés dans les limites de la période complémentaire,3 638 914,5 300 000,5 300 000,6 000 000,6 300 000,6 600 000,Crédit non limitatif et sans distinction d'exercice
Article,33.003,120 33003,12.0.33.003,Remboursement aux associations conventionnées par le Ministère de la Famille et de l'Intégration des frais relatifs aux indemnités d'apprentissage,1 023 585,1 282 146,1 282 146,1 299 000,1 318 000,1 340 000,Crédit non limitatif et sans distinction d'exercice
Article,33.005,120 33005,12.0.33.005,Participation aux frais de fonctionnement d'associations conventionnées: dépenses supplémentaires résultant d’accords salariaux,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,33.010,120 33010,12.0.33.010,"Subsides à des oeuvres de bienfaisance et de solidarité ainsi qu'à des organismes ou des personnes oeuvrant dans les domaines social, familial ou thérapeutique",16 810,68 248,60 000,61 000,62 000,63 000,
Article,33.030,120 33030,12.0.33.030,"Participation exceptionnelle et transitoire de l'Etat aux frais de fonctionnement des services d'hébergement et d'activités de jour pour personnes handicapées se rapportant aux exercices 2012 et antérieurs, suite à la nécessité, pour les institutions concernées, de disposer d'un délai d'adaptation et d'organistation en raison de l'entrée en vigueur d'un nouveau type de financement",,100,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,33.031,120 33031,12.0.33.031,Participation de l'Etat aux frais de fonctionnement des services conventionnés pour personnes handicapées,,53 188 936,54 890 674,58 465 364,63 192 994,66 010 872,
Article,33.040,120 33040,12.0.33.040,"Participation de l'Etat aux frais de fonctionnement de centres d'accueil et de services conventionnés pour adultes, de centres médico-sociaux, d'initiatives de travail social communautaire, aux frais de la mise en oeuvre de la stratégie nationale contre le sans-abrisme et l'exclusion liée au logement et aux frais d'études, de mise en place et de fonctionnement de projets-pilotes destinés à soutenir la création de nouveaux emplois de proximité dans le domaine socio-familial",,13 222 076,14 155 862,15 543 958,16 210 108,16 733 535,
Article,33.041,120 33041,12.0.33.041,Participation financière de l'Etat à des projets mis en oeuvre dans le cadre de programmes communautaires ayant trait à l'inclusion sociale,,95 000,97 500,99 368,101 355,103 382,Crédit non limitatif et sans distinction d'exercice
Article,33.050,120 33050,12.0.33.050,"Participation de l'Etat aux frais du projet ""Nuetswaach""",,300 000,321 000,322 000,323 000,324 000,Crédit non limitatif et sans distinction d'exercice
Article,33.051,120 33051,12.0.33.051,Participation de l'Etat aux frais de gestionnaires privés pour promouvoir la création et le fonctionnement de services pour personnes âgées,,7 029 572,7 437 153,7 825 315,8 340 031,8 610 883,
Article,33.052,120 33052,12.0.33.052,Participation de l'Etat au prix d'équilibre à payer par les usagers âgés et/ou dépendants dont les ressources s'avèrent insuffisantes dans les services de maintien à domicile,,2 212 500,2 212 500,2 212 500,2 212 500,2 212 500,Crédit non limitatif et sans distinction d'exercice
Article,33.053,120 33053,12.0.33.053,"Subsides à des organismes privés développant: 1) des mesures d'initiation aux technologies modernes de communication; frais de connexion et frais divers 2) des projets contribuant à la participation, à l'intégration et à la citoyenneté des personnes âgées",,16 200,0,,,,
Article,33.054,120 33054,12.0.33.054,Subsides à des organismes privés développant des projets contribuant à la citoyenneté et/ou intervenant au niveau de l'entraide,,67 500,160 700,160 700,160 700,160 700,
Article,33.055,120 33055,12.0.33.055,"Participation de l'Etat à la mise en place d'un plan d'action ""maladies démentielles""",,22 500,22 500,22 500,22 500,22 500,Crédit non limitatif et sans distinction d'exercice
Article,33.056,120 33056,12.0.33.056,Participation de l'Etat aux frais de la prise en charge de personnes en fin de vie aussi bien au niveau du maintien à domicile qu'en centres d'accueil pour personnes en fin de vie,,450 000,450 000,450 000,450 000,450 000,Crédit non limitatif et sans distinction d'exercice
Article,33.057,120 33057,12.0.33.057,Participation de l'Etat aux frais liés à l'organisation de formations professionnelles continues en soins palliatifs,,72 500,72 500,275 000,275 000,275 000,Crédit non limitatif et sans distinction d'exercice
Article,34.010,120 34010,12.0.34.010,Secours divers; subventions diverses; rapatriements; cotisations de la sécurité sociale,,80 000,80 000,80 000,80 000,80 000,Crédit non limitatif et sans distinction d'exercice
Article,34.012,120 34012,12.0.34.012,"Secours du chef de pertes et dégâts essuyés à la suite de catastrophes naturelles, frais d'expertises",,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,34.013,120 34013,12.0.34.013,Participation de l'Etat aux frais de placement à l'étranger,,150 000,150 000,150 000,150 000,150 000,Crédit non limitatif et sans distinction d'exercice
Article,34.014,120 34014,12.0.34.014,Prestations sociales; hébergement des sans-abri; frais de retour au pays d'origine,,317 103,350 000,375 000,400 000,400 000,Crédit non limitatif et sans distinction d'exercice
Article,34.090,120 34090,12.0.34.090,Prise en charge par l'Etat des frais liés à l'aide humaine nécessaire à la compensation du handicap de personnes atteintes d'un handicap sensoriel dans le cadre de formations professionnelles continues et de situations d'examens de promotion légaux ou réglementaires,,5 000,5 000,5 065,5 141,5 229,Crédit non limitatif
Article,41.010,120 41010,12.0.41.010,Financement des programmes et projets de recherche entrepris en collaboration avec les centres de recherche publics,12 485,12 750,137 750,137 750,75 750,12 750,
Article,43.000,120 43000,12.0.43.000,Remboursement aux communes de la part de l'Etat dans les frais d'entretien de diverses catégories d'indigents indigènes exposés tant dans le pays qu'à l'étranger,,100,100,,,,Crédit non limitatif et sans distinction d'exercice
Article,43.001,120 43001,12.0.43.001,Remboursement aux communes des frais incombant à l'Etat du chef de l'entretien d'indigents étrangers et indigènes dont le domicile de secours n'a pu être déterminé,,100,100,,,,Crédit non limitatif et sans distinction d'exercice
Article,43.002,120 43002,12.0.43.002,Participation de l'Etat aux frais de fonctionnement de centres d'accueil et de services communaux conventionnés pour adultes et aux frais de la mise en oeuvre de la stratégie nationale contre le sans-abrisme et l'exclusion liée au logement,,893 027,961 084,984 915,1 013 540,1 039 817,
Article,43.003,120 43003,12.0.43.003,"Subsides pour l'élaboration et la mise en oeuvre de projets ""Plan communal Senior""",,20 000,20 000,20 000,20 000,20 000,
Article,43.020,120 43020,12.0.43.020,Frais de l'opérateur pour le logiciel informatique des offices sociaux,,450 000,450 000,450 000,450 000,450 000,Crédit non limitatif et sans distinction d'exercice
Article,43.040,120 43040,12.0.43.040,Participation aux frais de fonctionnement des offices sociaux,,8 500 000,8 969 765,9 566 503,10 141 086,10 676 084,Crédit non limitatif et sans distinction d'exercice
Article,43.041,120 43041,12.0.43.041,Participation de l'Etat aux frais de communes et aux frais d'établissements publics gérés par des communes pour promouvoir la création et le fonctionnement de services pour personnes âgées,,322 154,330 097,362 007,374 240,385 044,
Article,12.623,120 12623,12.0.12.623,Frais d'experts et d'études,54 740,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Section,12.1,121,12.1,Service d'action socio-familiale.Enfants et adultes,67 393 002,0,0,,,,
Article,12.140,121 12140,12.1.12.140,"Frais de publicité, de sensibilisation et d'information relatifs à la situation des personnes handicapées",25 148,0,0,,,,
Article,12.302,121 12302,12.1.12.302,Prise en charge par l'Etat des frais de production des signes distinctifs identifiant les chiens d'assistance instaurés par la législation relative à l'accessibilité des lieux ouverts au public aux personnes handicapées accompagnées de chiens d'assistance.,375,0,0,,,,
Article,12.320,121 12320,12.1.12.320,"Information, consultation et promotion familiale: frais de publication, dépenses diverses",1 064,0,0,,,,
Article,12.341,121 12341,12.1.12.341,Participation à la promotion de la mobilité et de l'accessibilité transfrontalières des personnes handicapées,1 000,0,0,,,,
Article,33.000,121 33000,12.1.33.000,"Participation de l'Etat aux frais de fonctionnement des centres de consultation et d'information familiales prévus par la loi du 15.11.1978, ainsi que d'autres services pour enfants et familles",4 359 060,0,0,,,,
Article,33.006,121 33006,12.1.33.006,Participation de l'Etat aux frais de fonctionnement de centres d'accueil et de services conventionnés pour adultes,9 766 031,0,0,,,,
Article,33.011,121 33011,12.1.33.011,Participation de l'Etat aux frais de fonctionnement des centres médico-sociaux,2 322 171,0,0,,,,Crédit non limitatif
Article,33.017,121 33017,12.1.33.017,Participation de l'Etat aux frais de fonctionnement d'initiatives de travail social communautaire,282 514,0,0,,,,
Article,33.019,121 33019,12.1.33.019,"Participation de l'Etat aux frais de mise en place, de fonctionnement et d'étude de projets-pilotes destinés à soutenir la création de nouveaux emplois de proximité dans le domaine socio-familial",200 000,0,0,,,,
Article,33.030,121 33030,12.1.33.030,"Participation exceptionnelle et transitoire de l'Etat aux frais de fonctionnement des services d'hébergement et d'activités de jour pour personnes handicapées se rapportant aux exercices 2012 et antérieurs, suite à la nécessité, pour les institutions concernées, de disposer d'un délai d'adaptation et d'organistation en raison de l'entrée en vigueur d'un nouveau type de financement",,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,33.031,121 33031,12.1.33.031,Participation de l'Etat aux frais de fonctionnement des services conventionnés pour personnes handicapées,49 790 802,0,0,,,,
Article,34.090,121 34090,12.1.34.090,Prise en charge par l'Etat des frais liés à l'aide humaine nécessaire à la compensation du handicap de personnes atteintes d'un handicap sensoriel dans le cadre de formations professionnelles continues et de situations d'examens de promotion légaux ou réglementaires,680,0,0,,,,Crédit non limitatif
Article,43.004,121 43004,12.1.43.004,Participation de l'Etat aux frais de fonctionnement de centres d'accueil et de services communaux conventionnés pour adultes,644 157,0,0,,,,
Section,12.2,122,12.2,Solidarité,9 607 794,0,0,,,,
Article,11.130,122 11130,12.2.11.130,Indemnités pour services extraordinaires,,0,0,,,,
Article,11.131,122 11131,12.2.11.131,Indemnités pour services extraordinaires de la commission de médiation,322,0,0,,,,
Article,12.000,122 12000,12.2.12.000,Indemnités pour services de tiers,,0,0,,,,
Article,12.001,122 12001,12.2.12.001,Indemnités pour services de tiers de la commission de médiation,316,0,0,,,,
Article,12.120,122 12120,12.2.12.120,Frais d'experts et d'études; Assistance technique dans le cadre de la gestion du fonds d'assainissement en matière de surendettement,,0,0,,,,Crédit non limitatif
Article,12.121,122 12121,12.2.12.121,Frais d'experts et d'études dans le domaine de l'exclusion sociale,,0,0,,,,
Article,12.300,122 12300,12.2.12.300,"Prévention, information et sensibilisation en matière de surendettement; indemnités; frais de publication; dépenses diverses",3 089,0,0,,,,
Article,12.301,122 12301,12.2.12.301,Mise en oeuvre d'actions nationales dans le cadre de programmes communautaires ayant trait à l'inclusion sociale,,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.350,122 12350,12.2.12.350,Accompagnement psycho-thérapeutique et socio-pédagogique des victimes d'incidents collectifs à portée traumatisante; frais divers,4 735,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,33.000,122 33000,12.2.33.000,Participation financière de l'Etat à des projets mis en oeuvre dans le cadre de programmes communautaires ayant trait à l'inclusion sociale,36 224,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,33.001,122 33001,12.2.33.001,Participation de l'Etat aux frais de la mise en oeuvre de la Stratégie nationale contre le sans-abrisme et l'exclusion liée au logement,141 785,0,0,,,,
Article,34.010,122 34010,12.2.34.010,Secours divers; subventions diverses; rapatriements; cotisations de la sécurité sociale,14 303,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,34.012,122 34012,12.2.34.012,"Secours du chef de pertes et dégâts essuyés à la suite de catastrophes naturelles, frais d'expertises",,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,34.013,122 34013,12.2.34.013,Participation de l'Etat aux frais de placement à l'étranger,122 240,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,34.014,122 34014,12.2.34.014,Prestations sociales; hébergement des sans-abri; frais de retour au pays d'origine,355 175,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,43.000,122 43000,12.2.43.000,Remboursement aux communes de la part de l'Etat dans les frais d'entretien de diverses catégories d'indigents indigènes exposés tant dans le pays qu'à l'étranger,15 742,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,43.001,122 43001,12.2.43.001,Remboursement aux communes des frais incombant à l'Etat du chef de l'entretien d'indigents étrangers et indigènes dont le domicile de secours n'a pu être déterminé,600,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,43.002,122 43002,12.2.43.002,Participation de l'Etat aux frais de la mise en oeuvre de la Stratégie nationale contre le sans-abrisme et l'exclusion liée au logement,,0,0,,,,
Article,43.020,122 43020,12.2.43.020,Frais de l'opérateur pour le logiciel informatique des offices sociaux,447 651,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,43.040,122 43040,12.2.43.040,Participation aux frais de fonctionnement des offices sociaux,8 465 612,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Section,12.3,123,12.3,Office luxembourgeois de l'accueil et de l'intégration,25 102 179,29 068 022,33 240 758,34 333 219,34 552 505,35 880 953,
Article,11.000,123 11000,12.3.11.000,Traitements des fonctionnaires,1 359 644,1 479 233,1 372 038,1 398 950,1 430 198,1 483 341,Crédit non limitatif et sans distinction d'exercice
Article,11.010,123 11010,12.3.11.010,Indemnités des employés occupés à titre permanent,1 929 043,2 117 557,2 593 002,2 644 047,2 703 108,2 803 548,Crédit non limitatif et sans distinction d'exercice
Article,11.020,123 11020,12.3.11.020,Indemnités des employés occupés à titre temporaire,193 997,7 771,7 896,7 995,8 094,8 296,Crédit non limitatif et sans distinction d'exercice
Article,11.030,123 11030,12.3.11.030,Salaires des salariés occupés à titre permanent,269 932,290 626,294 407,300 138,306 842,318 244,Crédit non limitatif et sans distinction d'exercice
Article,11.040,123 11040,12.3.11.040,Salaires des salariés occupés à titre temporaire,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,11.100,123 11100,12.3.11.100,Indemnités d'habillement,,1 000,1 100,1 128,1 156,1 185,Crédit sans distinction d'exercice
Article,11.130,123 11130,12.3.11.130,Indemnités pour services extraordinaires,930,1 300,1 300,1 300,1 300,1 300,
Article,12.000,123 12000,12.3.12.000,Indemnités pour services de tiers,6 395,7 000,7 000,7 000,7 000,7 000,
Article,12.010,123 12010,12.3.12.010,Frais de route et de séjour,1 809,5 000,5 000,5 000,5 000,5 000,Crédit non limitatif
Article,12.020,123 12020,12.3.12.020,Frais d'exploitation des véhicules automoteurs,25 439,45 000,45 000,47 000,49 000,51 000,
Article,12.040,123 12040,12.3.12.040,Frais de bureau,26 267,0,0,,,,
Article,12.080,123 12080,12.3.12.080,Bâtiments: exploitation et entretien,1 795 919,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.081,123 12081,12.3.12.081,Bâtiment OLAI: exploitation et entretien,30 631,0,,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.090,123 12090,12.3.12.090,Loyers d'immeubles et charges locatives accessoires payés au secteur des administrations publiques,53 943,0,0,,,,Crédit non limitatif
Article,12.100,123 12100,12.3.12.100,Foyers d'accueil: loyers d'immeubles et charges locatives accessoires payés à des secteurs autres que le secteur des administrations publiques,689 628,0,0,,,,Crédit non limitatif
Article,12.120,123 12120,12.3.12.120,"Frais d'experts, d'études et de traduction",79 935,100 000,100 000,150 000,100 000,100 000,Crédit non limitatif
Article,12.140,123 12140,12.3.12.140,"Frais de publicité, de sensibilisation et d'information",3 168,0,0,,,,
Article,12.170,123 12170,12.3.12.170,Acquisition et entretien de petit outillage et d'équipements spéciaux de faible valeur pour les secteurs immigration et réfugiés,217 528,0,0,,,,
Article,12.190,123 12190,12.3.12.190,Conseil National pour étrangers: Organisation de conférences,,15 000,15 000,15 000,15 000,15 000,
Article,12.193,123 12193,12.3.12.193,Plan national d'intégration et de lutte contre les discriminations,60 785,375 860,380 000,385 000,391 000,398 000,
Article,12.194,123 12194,12.3.12.194,Mise en oeuvre du contrat d'accueil et d'intégration,126 667,176 000,178 000,200 000,220 000,240 000,Crédit non limitatif
Article,12.260,123 12260,12.3.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,40 500,76 000,92 000,93 500,95 000,
Article,12.270,123 12270,12.3.12.270,"Entretien, exploitation et location d'immeubles, dépenses diverses",,3 266 000,4 302 000,4 595 000,4 645 000,4 953 000,Crédit non limitatif et sans distinction d'exercice
Article,12.300,123 12300,12.3.12.300,Frais de formation,815,5 000,15 000,15 000,15 000,15 000,
Article,12.301,123 12301,12.3.12.301,Part nationale relative aux projets réalisés dans le cadre du programme communautaire concernant la lutte contre les discriminations et la promotion de la diversité,13 879,50 000,50 000,50 000,50 000,50 000,Crédit non limitatif et sans distinction d'exercice
Article,12.302,123 12302,12.3.12.302,Office luxembourgeois d'accueil et d'intégration et foyers d'accueil pour demandeurs de protection internationale: service de gardiennage,3 538 766,4 763 000,6 000 000,6 315 000,6 391 000,6 728 000,Crédit non limitatif
Article,33.010,123 33010,12.3.33.010,Subsides à des oeuvres de bienfaisance et de solidarité sociale initiant et mettant en oeuvre des projets en faveur de l'accueil et de l'intégration des personnes étrangères et promouvant la diversité et la lutte contre les discriminations,90 000,135 000,250 000,250 000,250 000,250 000,
Article,33.011,123 33011,12.3.33.011,Subsides aux frais de fonctionnement et d'exploitation de foyers d'hébergement pour travailleurs gérés par des organisations privées,45 000,0,0,,,,
Article,33.012,123 33012,12.3.33.012,"Prise en charge, entretien et encadrement de demandeurs de protection internationale; aides en vue d'un retour au pays d'origine; activités péri et parascolaires; dégâts causés à des tiers; frais de contentieux; fonctionnement des foyers d'accueil",12 095 913,12 900 000,15 100 000,15 400 000,15 400 000,15 900 000,Crédit non limitatif et sans distinction d'exercice
Article,33.013,123 33013,12.3.33.013,"Participation de l'Etat aux frais de fonctionnement des services qui ont pour objet de promouvoir les échanges entre étrangers et luxembourgeois et de promouvoir des mesures d'action sociales en faveur de l'intégration des étrangers respectivement la recherche sociologique et statistique et l'information au large public dans le domaine de la présence des étrangers au Luxembourg, ainsi que la formation à la relation interculturelle d'animateurs et de formateurs oeuvrant pour l'intégration des étrangers",1 844 940,2 218 043,1 646 495,1 668 561,1 700 207,1 722 939,
Article,33.017,123 33017,12.3.33.017,"Participation de l’Etat à la réalisation de projets européens dans le cadre de l’intégration des étrangers, de la lutte contre la discrimination ainsi que dans le cadre du Fonds social européen, du Fonds européen pour réfugiés, du Fonds européen d’intégration et du Fonds Asile et Migrations",319 472,570 285,200 000,200 000,200 000,200 000,Crédit non limitatif et sans distinction d'exercice
Article,33.018,123 33018,12.3.33.018,Participation de l'Etat aux frais de fonctionnement d'associations développant / réalisant des projets interculturels,87 000,87 000,0,0,0,0,
Article,33.019,123 33019,12.3.33.019,"Participation financière de l'Etat à des associations, Institutions et établissements publics dans l'intérêt de la mise en oeuvre d'actions nationales dans le cadre du plan national d'intégration et de lutte contre les discriminations",,0,0,,,,Crédit non limitatif
Article,33.020,123 33020,12.3.33.020,Participation de l'Etat à l'élaboration et à la réalisation de projets et d'activités d'intégration dans l'intérêt de ressortissants communautaires,,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,34.010,123 34010,12.3.34.010,"Secours à des travailleurs migrants en situation légale, de réfugiés reconnus et d'étrangers en situation illégale; frais de contentieux",41 157,100 000,100 000,80 000,60 000,20 000,Crédit non limitatif
Article,41.010,123 41010,12.3.41.010,Financement des programmes et projets de recherche entrepris en collaboration avec l'Université de Luxembourg,,,200 000,205 000,210 000,215 000,
Article,43.000,123 43000,12.3.43.000,"Subsides aux entités publiques du secteur communal, intercommunal et régional, initiant et soutenant des projets en vue de l’intégration et de l’accueil des étrangers",153 577,300 000,300 000,300 000,300 000,300 000,
Article,11.600,123 11600,12.3.11.600,Indemnités d'habillement,,,1 000,,,,
Article,12.630,123 12630,12.3.12.630,"Frais d'expert, d'études et de traduction",,9 227,420,,,,
Article,12.670,123 12670,12.3.12.670,Acquisition et entretien de petit outillage et d'équipements spéciaux de faible valeur,,2 520,0,,,,
Section,12.4,124,12.4,Fonds national de solidarité,309 138 390,297 980 579,309 979 229,317 862 607,323 601 648,331 062 441,
Article,11.000,124 11000,12.4.11.000,Participation de l'Etat aux frais de fonctionnement: traitements des fonctionnaires et employés publics,3 082 948,3 303 119,3 466 049,3 534 054,3 612 994,3 747 244,Crédit non limitatif et sans distinction d'exercice
Article,11.010,124 11010,12.4.11.010,Participation de l'Etat aux frais de fonctionnement: indemnités des employés occupés à titre permanent,949 214,1 021 327,1 204 940,1 228 646,1 256 090,1 302 763,Crédit non limitatif et sans distinction d'exercice
Article,11.020,124 11020,12.4.11.020,Participation de l'Etat aux frais de fonctionnement: indemnités des employés occupés à titre temporaire,106 176,12 667,12 754,12 912,13 072,13 399,Crédit non limitatif et sans distinction d'exercice
Article,12.080,124 12080,12.4.12.080,Participation de l'Etat aux frais de fonctionnement: exploitation et entretien des bâtiments,93 578,102 828,0,0,0,0,
Article,12.100,124 12100,12.4.12.100,Participation de l'Etat aux frais de fonctionnement: loyers d'immeubles et charges locatives accessoires payés à des secteurs autres que le secteur des administrations publiques,864 531,864 531,0,0,0,0,Crédit non limitatif et sans distinction d'exercice
Article,12.110,124 12110,12.4.12.110,Participation de l'Etat aux frais de fonctionnement: frais de contentieux,132 295,135 000,135 000,142 000,149 000,156 000,Crédit non limitatif
Article,12.250,124 12250,12.4.12.250,Participation de l'Etat aux frais de fonctionnement: frais d'exploitation courants,473 585,471 548,495 553,559 000,567 500,577 000,
Article,12.270,124 12270,12.4.12.270,"Entretien, exploitation et location d'immeubles, dépenses diverses",,,1 028 545,985 000,999 500,1 016 000,Crédit sans distinction d'exercice
Article,12.300,124 12300,12.4.12.300,Participation de l'Etat aux frais de fonctionnement: frais de surveillance et de contrôle,67 634,69 000,69 600,72 000,72 000,72 000,Crédit non limitatif et sans distinction d'exercice
Article,12.310,124 12310,12.4.12.310,"Participation de l'Etat aux frais de fonctionnement: part dans les frais du centre d'informatique, d'affiliation et de perception des cotisations commun aux institutions de la sécurité sociale",931 056,1 117 263,1 130 000,1 145 000,1 162 000,1 181 000,Crédit non limitatif et sans distinction d'exercice
Article,34.010,124 34010,12.4.34.010,"Dotation du fonds national de solidarité destinée à couvrir les besoins résultant des obligations définies par la loi du 26.7.1986 portant introduction d'un revenu minimum garanti, compte tenu des recettes du fonds",147 203 960,147 852 407,149 883 000,153 397 016,156 716 391,161 157 808,Crédit non limitatif et sans distinction d'exercice
Article,34.011,124 34011,12.4.34.011,Dotation du fonds national de solidarité destinée à couvrir les besoins résultant des obligations définies par la loi du 13.6.1975 : allocation compensatoire en faveur de certaines catégories de bénéficiaires de rentes et de pensions,296 193,251 507,228 976,201 167,176 762,155 338,Crédit non limitatif et sans distinction d'exercice
Article,34.013,124 34013,12.4.34.013,Dotation du fonds national de solidarité destinée à couvrir les dépenses résultant de la loi du 26 juillet 1980 concernant l'avance et le recouvrement de pensions alimentaires,1 909 274,2 038 516,1 595 400,1 395 829,1 117 486,751 731,Crédit non limitatif
Article,34.014,124 34014,12.4.34.014,Dotation du fonds national de solidarité dans l'intérêt du versement de l'allocation de vie chère en faveur des ménages à revenu modeste,41 090 005,33 307 076,41 691 100,41 899 625,42 109 123,42 319 688,Crédit non limitatif et sans distinction d'exercice
Article,34.015,124 34015,12.4.34.015,"Dotation du fonds national de solidarité au titre de la participation au prix des prestations fournies dans le cadre de l'accueil gérontologique 1) aux personnes admises à durée indéterminée dans les centres intégrés, maisons de soins, centres socio-gérontologiques et foyers de jour psychogériatriques dûment agréés conformément à la loi du 8 septembre 1998 réglant les relations entre l'Etat et les organismes oeuvrant dans les domaines social, familial et thérapeutique; 2) aux personnes séjournant dans un hôpital et considérées comme cas de simple hébergement au sens de l'article 17 du code des assurances sociales",7 510 000,8 482 133,7 265 700,7 365 200,7 501 260,7 604 120,Crédit non limitatif et sans distinction d'exercice
Article,34.016,124 34016,12.4.34.016,Dotation du fonds national de solidarité destinée à couvrir les besoins résultant des obligations définies par la loi du 12.09.2003 portant introduction d'un revenu pour personnes gravement handicapées,41 348 529,40 307 566,43 000 000,47 000 000,49 000 000,51 500 000,Crédit non limitatif et sans distinction d'exercice
Article,42.010,124 42010,12.4.42.010,Dotation du fonds national de solidarité destinée à couvrir les besoins résultant des obligations définies par la loi du 11 juin 2002 portant introduction d'un forfait d'éducation à allouer à certains parents âgés,63 046 716,58 622 749,58 711 000,58 925 158,59 148 470,59 508 350,Crédit non limitatif et sans distinction d'exercice
Article,12.600,124 12600,12.4.12.600,Participation de l'Etat aux frais de fonctionnement: loyers d'immeubles et charges locatives accessoires payés à des secteurs autres que le secteur des administrations publiques,,,12 242,,,,
Article,12.750,124 12750,12.4.12.750,Participation de l'Etat aux frais de fonctionnement: frais d'exploitation courants,32 696,21 342,49 370,,,,
Section,12.5,125,12.5,Caisse nationale des prestations familiales,1 064 100 238,1 008 601 292,1 010 853 714,988 237 103,986 438 498,999 337 023,
Article,11.000,125 11000,12.5.11.000,Participation de l'Etat aux frais de fonctionnement: traitements des fonctionnaires et employés publics,5 152 804,5 542 804,5 654 929,5 765 924,5 894 718,6 113 751,Crédit non limitatif et sans distinction d'exercice
Article,11.010,125 11010,12.5.11.010,Participation de l'Etat aux frais de fonctionnement: indemnités des employés occupés à titre permanent,3 541 517,3 493 501,3 652 916,3 724 928,3 808 132,3 949 633,Crédit non limitatif et sans distinction d'exercice
Article,11.020,125 11020,12.5.11.020,Participation de l'Etat aux frais de fonctionnement: indemnités des employés occupés à titre temporaire,11 401,9 962,350 779,355 151,359 548,368 539,Crédit non limitatif et sans distinction d'exercice
Article,12.070,125 12070,12.5.12.070,Participation de l'Etat aux frais de fonctionnement: location et entretien des équipements informatiques,736 863,892 970,857 440,873 000,889 000,911 000,
Article,12.080,125 12080,12.5.12.080,Participation de l'Etat aux frais de fonctionnement: exploitation et entretien des bâtiments,517 466,539 010,0,0,0,0,
Article,12.090,125 12090,12.5.12.090,Loyers d'immeubles et charges locatives accessoires payés au secteur des administrations publiques,1 199 677,1 196 380,0,0,0,0,Crédit non limitatif
Article,12.110,125 12110,12.5.12.110,Participation de l'Etat aux frais de fonctionnement: frais de contentieux,183 463,160 000,160 000,165 000,170 000,175 000,Crédit non limitatif
